"UniqueID","obs","pred","fold","pred_bin","obs_bin","ecoregion"
"Andrus_LS02",0.959720372836218,0.480911485798255,3,2,5,"Colorado Rockies forests"
"Andrus_LS03",1,0.190048576611094,3,1,5,"Colorado Rockies forests"
"Andrus_LS03",1,0.190048576611094,3,1,5,"Colorado Rockies forests"
"Andrus_LS04",1,0.743910923510041,3,3,5,"Colorado Rockies forests"
"Andrus_LS04",1,0.743910923510041,3,3,5,"Colorado Rockies forests"
"Andrus_LS05",1,0.555927409499225,3,3,5,"Colorado Rockies forests"
"Andrus_LS05",1,0.555927409499225,3,3,5,"Colorado Rockies forests"
"Andrus_LS06",0.328425731179809,0.178286940792287,3,1,2,"Colorado Rockies forests"
"Andrus_LS06",0.328425731179809,0.178286940792287,3,1,2,"Colorado Rockies forests"
"Andrus_LS07",1,0.169264737021532,3,1,5,"Colorado Rockies forests"
"Andrus_LS07",1,0.169264737021532,3,1,5,"Colorado Rockies forests"
"Andrus_LS08",0.433892630217251,0.159866328971989,3,1,2,"Colorado Rockies forests"
"Andrus_LS08",0.433892630217251,0.159866328971989,3,1,2,"Colorado Rockies forests"
"Andrus_LS09",0.660783232211804,0.143611751843153,3,1,3,"Colorado Rockies forests"
"Andrus_LS09",0.660783232211804,0.143611751843153,3,1,3,"Colorado Rockies forests"
"Andrus_LS10",1,0.895396110019619,3,4,5,"Colorado Rockies forests"
"Andrus_LS10",1,0.895396110019619,3,4,5,"Colorado Rockies forests"
"Andrus_LS11",0.99581917951398,0.277808480459249,3,2,5,"Colorado Rockies forests"
"Andrus_LS11",0.99581917951398,0.277808480459249,3,2,5,"Colorado Rockies forests"
"Andrus_LS12",0.480454698067054,0.152545561266302,3,1,2,"Colorado Rockies forests"
"Andrus_LS12",0.480454698067054,0.152545561266302,3,1,2,"Colorado Rockies forests"
"Andrus_LS13",1,0.173767632823056,3,1,5,"Colorado Rockies forests"
"Andrus_LS13",1,0.173767632823056,3,1,5,"Colorado Rockies forests"
"Andrus_LS14",0.508551043961809,0.121823181406271,3,1,3,"Colorado Rockies forests"
"Andrus_LS14",0.508551043961809,0.121823181406271,3,1,3,"Colorado Rockies forests"
"Andrus_LS15",0.599285873688909,0.163084177402919,3,1,3,"Colorado Rockies forests"
"Andrus_LS15",0.599285873688909,0.163084177402919,3,1,3,"Colorado Rockies forests"
"Andrus_LS16",0.288400060892069,0.197763452753177,3,1,2,"Colorado Rockies forests"
"Andrus_LS16",0.288400060892069,0.197763452753177,3,1,2,"Colorado Rockies forests"
"Andrus_LS17",0.151628072043297,0.476353216425068,3,2,1,"Colorado Rockies forests"
"Andrus_LS17",0.151628072043297,0.476353216425068,3,2,1,"Colorado Rockies forests"
"Andrus_LS18",0.493454371715241,0.159139438076887,3,1,2,"Colorado Rockies forests"
"Andrus_LS18",0.493454371715241,0.159139438076887,3,1,2,"Colorado Rockies forests"
"Andrus_LS19",1,0.879655298720622,3,4,5,"Colorado Rockies forests"
"Andrus_LS19",1,0.879655298720622,3,4,5,"Colorado Rockies forests"
"Andrus_LS20",0.93278193514507,0.71974693292454,3,3,5,"Colorado Rockies forests"
"Andrus_LS20",0.93278193514507,0.71974693292454,3,3,5,"Colorado Rockies forests"
"Andrus_LS21",1,0.936278549241762,3,5,5,"Colorado Rockies forests"
"Andrus_LS21",1,0.936278549241762,3,5,5,"Colorado Rockies forests"
"Andrus_LS22",0.861138979049867,0.326144151132032,3,2,4,"Colorado Rockies forests"
"Andrus_LS22",0.861138979049867,0.326144151132032,3,2,4,"Colorado Rockies forests"
"Andrus_LS23",0.970188926147052,0.667574972745986,3,3,5,"Colorado Rockies forests"
